ts,node,bytes_read,bytes_written,bytes_in,bytes_out,ff_in,ff_out,queued_count,queued_bytes,ffrepo_used,content_used,prov_used,heap_used,gc_ms
1788782146,nifi-1,0,43811635200,0,0,0,0,1000,4096000,41943040,586153984,7222067200,2674319096,4266
1788782158,nifi-0,0,45858816000,0,0,0,0,1600,6553600,86245376,454295552,7773880320,1020914760,3941
1788782160,nifi-1,0,43942707200,0,0,0,0,1000,4096000,214958080,2108424192,7347634176,1247285152,4326
1788782171,nifi-0,0,45789184000,0,0,0,0,1746,7151616,266862592,662700032,8164737024,2455291976,3974
1788782173,nifi-1,0,44032000000,0,0,0,0,1200,4915200,160694272,890503168,7845707776,794178688,4369
1788782185,nifi-0,0,45409894400,0,0,0,0,1000,4096000,184811520,258736128,8562933760,613891744,4016
1788782186,nifi-1,0,44202393600,0,0,0,0,3000,12288000,302776320,2792357888,8127774720,2398543704,4409
1788782197,nifi-0,0,45312409600,0,0,0,0,1206,4939776,285474816,444858368,8611430400,1943161400,4050
1788782199,nifi-1,0,44297420800,0,0,0,0,600,2457600,252444672,1319370752,7642284032,530701664,4453
1788782211,nifi-0,0,45336985600,0,0,0,0,1600,6553600,296222720,496762880,8394637312,1187099800,4086
1788782212,nifi-1,0,44394905600,0,0,0,0,1131,4632576,166461440,3075735552,8216117248,753079760,4488
1788782224,nifi-0,0,45322240000,0,0,0,0,876,3588096,392691712,329515008,8334082048,2006955568,4157
1788782226,nifi-1,0,44358860800,0,0,0,0,1000,4096000,273154048,3260547072,7768113152,1113533008,4527
1788782238,nifi-0,0,45500006400,0,0,0,0,1400,5734400,64749568,336855040,8655470592,2243759944,4190
1788782239,nifi-1,0,44530073600,0,0,0,0,1200,4915200,253231104,1381761024,8282439680,2501182400,4563
1788782251,nifi-0,0,45372211200,0,0,0,0,766,3137536,230948864,252444672,8487698432,2730120256,4227
1788782252,nifi-1,0,44663603200,0,0,0,0,1580,6471680,143654912,1688469504,8098676736,1715738336,4607
1788782264,nifi-0,0,45361561600,0,0,0,0,2035,8335360,193986560,621019136,8877768704,1422453440,4261
1788782266,nifi-1,0,44531712000,0,0,0,0,1339,5484544,294387712,1364983808,8568963072,355257440,4691
1788782278,nifi-0,0,45163315200,0,0,0,0,900,3686400,305659904,267911168,9094037504,415446120,4301
1788782280,nifi-1,0,44391628800,0,0,0,0,1600,6553600,274202624,3055026176,8951955456,1538500560,4732
1788782292,nifi-0,0,45091225600,0,0,0,0,1413,5787648,260308992,352321536,8847884288,2270632648,4387
1788782294,nifi-1,0,44448153600,0,0,0,0,2741,11227136,166199296,768081920,8625848320,477084840,4778
1788782306,nifi-0,0,45497548800,0,0,0,0,1123,4599808,215744512,293076992,9019588608,273211616,4513
1788782308,nifi-1,0,44533350400,0,0,0,0,2827,11579392,314834944,1156841472,8699510784,2115943680,4816
1788782319,nifi-0,0,45470515200,0,0,0,0,1691,6926336,94109696,244580352,9639034880,2371774672,4576
1788782321,nifi-1,0,44584960000,0,0,0,0,1430,5857280,290717696,3143368704,9041346560,1193060184,4901
1788782333,nifi-0,0,45500006400,0,0,0,0,1399,5730304,275775488,337379328,9114746880,2534830496,4617
1788782335,nifi-1,0,44950323200,0,0,0,0,1434,5873664,190054400,757858304,8969519104,1515971360,4944
1788782346,nifi-0,0,45436108800,0,0,0,0,600,2457600,221773824,295698432,9834594304,927098848,4652
1788782348,nifi-1,0,44913459200,0,0,0,0,801,3280896,75759616,478150656,9463922688,1535290912,4982
1788782359,nifi-0,0,45282918400,0,0,0,0,1800,7372800,326893568,372506624,9641656320,1262708704,4690
1788782360,nifi-1,0,44844646400,0,0,0,0,1400,5734400,234881024,276299776,9277276160,2357361584,5091
1788782372,nifi-0,0,44974899200,0,0,0,0,1123,4599808,287047680,346554368,10041688064,743802600,4729
1788782374,nifi-1,0,44800409600,0,0,0,0,800,3276800,177209344,1604845568,9804185600,2240818376,5135
1788782385,nifi-0,0,44981452800,0,0,0,0,1201,4919296,170655744,391118848,10573053952,2138606976,4818
1788782387,nifi-1,0,44768460800,0,0,0,0,1000,4096000,274464768,3183476736,9473622016,1798938288,5232
1788782399,nifi-0,0,44883148800,0,0,0,0,3625,14848000,106954752,559677440,9770106880,1591477664,4859
1788782401,nifi-1,0,44843827200,0,0,0,0,800,3276800,202375168,2071724032,9402580992,2312472152,5270
1788782412,nifi-0,0,44983910400,0,0,0,0,1317,5394432,272105472,379846656,10170400768,489897904,4898
1788782414,nifi-1,0,45254246400,0,0,0,0,1400,5734400,169607168,737411072,9849798656,468414752,5314
1788782426,nifi-0,0,45078118400,0,0,0,0,400,1638400,181927936,664535040,10387456000,204817400,4939
1788782428,nifi-1,0,45128908800,0,0,0,0,1450,5939200,319553536,2714501120,10280239104,2482794704,5349
1788782439,nifi-0,0,45144473600,0,0,0,0,1000,4096000,74448896,527695872,10726670336,1943731784,4972
1788782441,nifi-1,0,45021593600,0,0,0,0,1204,4931584,269484032,1348730880,10336862208,310685280,5394
1788782452,nifi-0,0,45321420800,0,0,0,0,1200,4915200,247201792,386924544,10594549760,740445120,5010
1788782454,nifi-1,0,45195264000,0,0,0,0,1600,6553600,178782208,3109289984,10225451008,759037576,5490
1788782465,nifi-0,0,45332070400,0,0,0,0,2111,8646656,170393600,609222656,10640687104,1544594688,5044
1788782467,nifi-1,0,45033881600,0,0,0,0,1200,4915200,280756224,1921777664,9931849728,1053940392,5534
1788782479,nifi-0,0,45169049600,0,0,0,0,1200,4915200,300154880,783286272,11048058880,2531880800,5130
1788782480,nifi-1,0,44921651200,0,0,0,0,600,2457600,204734464,3558604800,10622861312,1325666912,5574
1788782492,nifi-0,0,45262438400,0,0,0,0,864,3538944,283639808,303038464,10677649408,2090335696,5167
1788782493,nifi-1,0,44837273600,0,0,0,0,1000,4096000,151781376,2289303552,10412621824,2205448896,5609
1788782505,nifi-0,0,45279641600,0,0,0,0,1400,5734400,389808128,331612160,11354505216,1462104440,5210
1788782507,nifi-1,0,45078937600,0,0,0,0,1244,5095424,317718528,1143472128,10968367104,310836464,5698
1788782518,nifi-0,0,45403340800,0,0,0,0,1600,6553600,248250368,266338304,10856693760,2730569800,5251
1788782520,nifi-1,0,44943769600,0,0,0,0,3400,13926400,235929600,2553020416,10478682112,1711978736,5734
1788782531,nifi-0,0,45368115200,0,0,0,0,1442,5906432,262668288,315883520,11184898048,504835608,5286
1788782532,nifi-1,0,44711116800,0,0,0,0,1200,4915200,141033472,1201405952,10844372992,1670083168,5767
1788782544,nifi-0,0,45491814400,0,0,0,0,924,3784704,367525888,332136448,11371020288,551937960,5322
1788782545,nifi-1,0,44454707200,0,0,0,0,3148,12894208,241172480,2716336128,11064573952,2187265688,5848
1788782557,nifi-0,0,45527040000,0,0,0,0,1400,5734400,300417024,549191680,10993270784,2127360840,5355
1788782558,nifi-1,0,44258918400,0,0,0,0,2167,8876032,244580352,1736704000,11056709632,1993882440,5888
1788782570,nifi-0,0,45590118400,0,0,0,0,400,1638400,246415360,480509952,11206918144,531975184,5395
1788782572,nifi-1,0,44324454400,0,0,0,0,1201,4919296,351010816,3659530240,10880024576,1015871376,5929
1788782583,nifi-0,0,45787545600,0,0,0,0,2400,9830400,369885184,344981504,11428954112,2608153272,5428
1788782585,nifi-1,0,44488294400,0,0,0,0,1000,4096000,274464768,1250164736,11267211264,2266460200,5964
1788782597,nifi-0,0,45795737600,0,0,0,0,400,1638400,282066944,379060224,11909464064,1244138408,5463
1788782598,nifi-1,0,44547276800,0,0,0,0,1400,5734400,234618880,1446248448,11742216192,2012645240,6004
1788782610,nifi-0,0,45698252800,0,0,0,0,1600,6553600,216006656,449314816,12015894528,964118496,5501
1788782612,nifi-1,0,44571033600,0,0,0,0,1000,4096000,156499968,1277165568,11773411328,1079683736,6050
1788782623,nifi-0,0,45859635200,0,0,0,0,1400,5734400,167247872,285474816,11131158528,972614576,5540
1788782625,nifi-1,0,44573491200,0,0,0,0,800,3276800,279969792,3146252288,10969153536,2129926920,6088
1788782636,nifi-0,0,45830144000,0,0,0,0,1345,5509120,312475648,384565248,11463557120,2148343208,5572
1788782638,nifi-1,0,44517785600,0,0,0,0,1435,5877760,201326592,444071936,11467227136,1322513688,6127
1788782650,nifi-0,0,45841612800,0,0,0,0,2600,10649600,237240320,410779648,11538530304,1877430576,5607
1788782652,nifi-1,0,44715212800,0,0,0,0,2800,11468800,118751232,297009152,11768954880,956189144,6173
1788782663,nifi-0,0,45961216000,0,0,0,0,800,3276800,281280512,376176640,11573395456,885880960,5644
1788782664,nifi-1,0,44489932800,0,0,0,0,1200,4915200,227278848,350486528,11640766464,1467970856,6246
1788782676,nifi-0,0,46147993600,0,0,0,0,600,2457600,294912000,433848320,10801905664,1550290976,5679
1788782678,nifi-1,0,44246630400,0,0,0,0,1200,4915200,144441344,1823735808,12037652480,1264385808,6276
1788782689,nifi-0,0,46236467200,0,0,0,0,2182,8937472,228327424,1168113664,11492130816,849022848,5719
1788782691,nifi-1,0,44349030400,0,0,0,0,792,3244032,108789760,937689088,11619794944,2388494920,6315
1788782703,nifi-0,0,46209433600,0,0,0,0,0,0,263454720,410779648,11098652672,286723264,5755
1788782705,nifi-1,0,44566118400,0,0,0,0,864,3538944,281280512,737935360,11666980864,294994608,6406
1788782716,nifi-0,0,46117683200,0,0,0,0,600,2457600,268697600,557842432,11353456640,1052271280,5787
1788782718,nifi-1,0,44332646400,0,0,0,0,1332,5455872,213647360,2148532224,11582570496,1622262072,6447
1788782730,nifi-0,0,45944012800,0,0,0,0,1600,6553600,211812352,327680000,11447304192,2532071208,5818
1788782732,nifi-1,0,44380979200,0,0,0,0,1481,6066176,336330752,1647575040,11814043648,725095872,6491
1788782743,nifi-0,0,45773619200,0,0,0,0,1813,7426048,114032640,354680832,12026904576,251324888,5890
1788782745,nifi-1,0,44244172800,0,0,0,0,1961,8032256,260046848,1907359744,11842093056,1950564240,6525
1788782757,nifi-0,0,45645004800,0,0,0,0,1800,7372800,290455552,270794752,12182880256,1763001832,5925
1788782759,nifi-1,0,44584140800,0,0,0,0,1000,4096000,212860928,963903488,12205686784,1789950720,6569
1788782770,nifi-0,0,45881753600,0,0,0,0,1518,6217728,238288896,283639808,11416633344,900834288,5967
1788782772,nifi-1,0,44570214400,0,0,0,0,800,3276800,138149888,2552233984,11573395456,691747840,6698
1788782783,nifi-0,0,45844889600,0,0,0,0,2036,8339456,133431296,337641472,11745099776,1204930976,6009
1788782785,nifi-1,0,44712755200,0,0,0,0,600,2457600,310902784,3034841088,11514150912,1503874600,6736
1788782796,nifi-0,0,45966950400,0,0,0,0,1760,7208960,314048512,376176640,11846025216,2316470240,6048
1788782798,nifi-1,0,44695552000,0,0,0,0,800,3276800,240386048,1614807040,11459100672,420171392,6833
1788782809,nifi-0,0,45910425600,0,0,0,0,800,3276800,196870144,377487360,11195645952,322301040,6095
1788782811,nifi-1,0,44637388800,0,0,0,0,1199,4911104,344457216,3539206144,11208753152,1730099936,6916
1788782822,nifi-0,0,45814579200,0,0,0,0,1179,4829184,129236992,969932800,11473256448,780816312,6136
1788782824,nifi-1,0,45144473600,0,0,0,0,885,3624960,334495744,2113667072,11496325120,411043424,6960
1788782835,nifi-0,0,45953843200,0,0,0,0,800,3276800,315097088,525598720,11818762240,1624726320,6176
1788782837,nifi-1,0,45536870400,0,0,0,0,1112,4554752,193724416,926941184,11933319168,241964760,6999
1788782849,nifi-0,0,45664665600,0,0,0,0,2584,10584064,149422080,298319872,11583881216,2097199936,6218
1788782850,nifi-1,0,45796556800,0,0,0,0,1936,7929856,343670784,2738880512,11782586368,2210385144,7083
1788782862,nifi-0,0,45760512000,0,0,0,0,1400,5734400,313786368,371720192,11662786560,1221486336,6257
